Iteration,Energy,Positional_error,Obstacle_distance,Task success,RNS,HV,Parameters
50,44.28,0.19,0.4,1,1,0.88,"{'controller_frequency': 5.594025537371635, 'planner_patience': 5.293298840522766, 'controller_patience': 5.1309986263513565, 'conservative_reset_dist': 3.093897856771946, 'acc_lim_theta': 3.4268761064857243, 'acc_lim_trans': 0.3515656672418118, 'acc_lim_x': 3.7861391864717007, 'forward_point_distance': 0.2652156477794051, 'goal_distance_bias': 20.955522255972028, 'max_scaling_factor': 0.14196367971599103, 'max_vel_theta': 0.7391328699886799, 'max_vel_trans': 0.5862462152726948, 'max_vel_x': 0.42826119745150204, 'min_vel_theta': 2.98541924636811, 'min_vel_trans': 0.1456537994556129, 'min_vel_x': -0.1451692895963788, 'occdist_scale': 0.29696076191030446, 'oscillation_reset_angle': 0.436508234590292, 'path_distance_bias': 19.56135258078575, 'scaling_speed': 0.2693224959075451, 'sim_granularity': 0.03430963089689612, 'sim_time': 2.9438230842351913, 'stop_time_buffer': 1.4542476046830415, 'theta_stopped_vel': 0.07390685603022576, 'trans_stopped_vel': 0.05506462072953582, 'vth_samples': 23, 'vx_samples': 10, 'vy_samples': 15, 'publish_frequency': 1.9440225129947066, 'resolution': 0.08188584762625396, 'transform_tolerance': 1.6284584257751704, 'update_frequency': 5.667258867993951, 'cost_scaling_factor': 12.991688404232264, 'inflation_radius': 1.185009853541851, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
51,54.68,0.54,0.58,0,0.8,0.83,"{'controller_frequency': 4.125721171498299, 'planner_patience': 5.683651871979237, 'controller_patience': 5.407808061689138, 'conservative_reset_dist': 2.0855811536312103, 'acc_lim_theta': 5.068995460309088, 'acc_lim_trans': 0.14326657429337503, 'acc_lim_x': 4.706756569445133, 'forward_point_distance': 0.3006666348315775, 'goal_distance_bias': 17.355185020715, 'max_scaling_factor': 0.34022384881973267, 'max_vel_theta': 0.9122497588396072, 'max_vel_trans': 0.6461489820387214, 'max_vel_x': 0.33481725985184313, 'min_vel_theta': 1.7940599326975644, 'min_vel_trans': 0.15062209628522397, 'min_vel_x': -0.2600821238011122, 'occdist_scale': 0.28931822851300243, 'oscillation_reset_angle': 0.13406140580773354, 'path_distance_bias': 39.25411682575941, 'scaling_speed': 0.1651757877320051, 'sim_granularity': 0.030931438403204083, 'sim_time': 2.845020478591323, 'stop_time_buffer': 1.358175371028483, 'theta_stopped_vel': 0.06151790758594871, 'trans_stopped_vel': 0.06018498903140426, 'vth_samples': 23, 'vx_samples': 5, 'vy_samples': 15, 'publish_frequency': 2.1303982697427273, 'resolution': 0.04285186517983675, 'transform_tolerance': 1.9196880554780364, 'update_frequency': 3.963306284509599, 'cost_scaling_factor': 16.127644561231136, 'inflation_radius': 0.5923423234373331, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
52,57.32,0.65,0.88,0,0.8,0.82,"{'controller_frequency': 3.4413123168051243, 'planner_patience': 3.4880643375217915, 'controller_patience': 4.273847445845604, 'conservative_reset_dist': 3.576627407222986, 'acc_lim_theta': 3.928065823670477, 'acc_lim_trans': 0.1324055753648281, 'acc_lim_x': 3.056274861097336, 'forward_point_distance': 0.46249361233785746, 'goal_distance_bias': 33.281667893752456, 'max_scaling_factor': 0.2309153214097023, 'max_vel_theta': 1.4817543337121606, 'max_vel_trans': 0.5439360888674856, 'max_vel_x': 0.4909880583174526, 'min_vel_theta': 1.8587173484265804, 'min_vel_trans': 0.1587476738728583, 'min_vel_x': -0.1479418907314539, 'occdist_scale': 0.4347936355508864, 'oscillation_reset_angle': 0.1864900827407837, 'path_distance_bias': 42.69217234104872, 'scaling_speed': 0.24815348349511623, 'sim_granularity': 0.04150141292251647, 'sim_time': 3.074281486682594, 'stop_time_buffer': 0.8543358173221349, 'theta_stopped_vel': 0.13942417735233903, 'trans_stopped_vel': 0.09946036376059056, 'vth_samples': 15, 'vx_samples': 9, 'vy_samples': 7, 'publish_frequency': 1.5498602474108338, 'resolution': 0.04916243419051171, 'transform_tolerance': 1.013893074169755, 'update_frequency': 1.2289138734340668, 'cost_scaling_factor': 18.465035546571016, 'inflation_radius': 1.281413484737277, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
53,44.68,1.48,1.18,0,0.6,0.8,"{'controller_frequency': 3.061659924685955, 'planner_patience': 3.9026492834091187, 'controller_patience': 5.166021175682545, 'conservative_reset_dist': 1.2030048295855522, 'acc_lim_theta': 4.650951935444027, 'acc_lim_trans': 0.1855297762900591, 'acc_lim_x': 1.8818972893059254, 'forward_point_distance': 0.4346260101534426, 'goal_distance_bias': 20.891115181148052, 'max_scaling_factor': 0.2984159179031849, 'max_vel_theta': 1.7538848873227835, 'max_vel_trans': 0.6768906428944319, 'max_vel_x': 0.606634480599314, 'min_vel_theta': 2.380401838570833, 'min_vel_trans': 0.13886481877416373, 'min_vel_x': -0.0383461995050311, 'occdist_scale': 0.06260934160090983, 'oscillation_reset_angle': 0.4795213434845209, 'path_distance_bias': 34.671160504221916, 'scaling_speed': 0.18478373326361178, 'sim_granularity': 0.04431381672620773, 'sim_time': 3.1697570020332932, 'stop_time_buffer': 1.2495395062491297, 'theta_stopped_vel': 0.07907008491456509, 'trans_stopped_vel': 0.1359192617237568, 'vth_samples': 29, 'vx_samples': 3, 'vy_samples': 5, 'publish_frequency': 2.343961046077311, 'resolution': 0.0755718756467104, 'transform_tolerance': 1.4410888845101, 'update_frequency': 4.161951168440282, 'cost_scaling_factor': 18.808165312744677, 'inflation_radius': 0.9446103662252425, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
54,113.92,0.66,0.4,0,0.8,0.68,"{'controller_frequency': 4.1355201452970505, 'planner_patience': 6.982323996722698, 'controller_patience': 3.58228587731719, 'conservative_reset_dist': 1.9004955478012562, 'acc_lim_theta': 2.7709489298984407, 'acc_lim_trans': 0.43876956552267077, 'acc_lim_x': 4.601336628198624, 'forward_point_distance': 0.30710964733734725, 'goal_distance_bias': 8.427269482053816, 'max_scaling_factor': 0.34219057783484463, 'max_vel_theta': 0.5771880899555981, 'max_vel_trans': 0.3493282256182283, 'max_vel_x': 0.35626339302398263, 'min_vel_theta': 2.1241388116031885, 'min_vel_trans': 0.15177691616117955, 'min_vel_x': -0.16877009617164732, 'occdist_scale': 0.3313265535980463, 'oscillation_reset_angle': 0.452735236287117, 'path_distance_bias': 11.226040869951248, 'scaling_speed': 0.26002684663981196, 'sim_granularity': 0.033168910089880224, 'sim_time': 0.7777906768023968, 'stop_time_buffer': 0.4658801484853029, 'theta_stopped_vel': 0.08983644926920534, 'trans_stopped_vel': 0.1431072883307934, 'vth_samples': 21, 'vx_samples': 6, 'vy_samples': 6, 'publish_frequency': 1.7132167182862759, 'resolution': 0.08723431039601565, 'transform_tolerance': 1.9227470176294446, 'update_frequency': 2.5512473275884986, 'cost_scaling_factor': 13.424966995604336, 'inflation_radius': 0.5362519975751638, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
55,44.04,0.69,0.83,0,0.8,0.85,"{'controller_frequency': 5.030462644994259, 'planner_patience': 4.449709478765726, 'controller_patience': 4.605774648487568, 'conservative_reset_dist': 3.5493220947682858, 'acc_lim_theta': 2.1027083593420683, 'acc_lim_trans': 0.34287504144012926, 'acc_lim_x': 4.832974914461374, 'forward_point_distance': 0.6782364797778427, 'goal_distance_bias': 13.662465075030923, 'max_scaling_factor': 0.32161736153066156, 'max_vel_theta': 0.6668830886483192, 'max_vel_trans': 0.3662566542159766, 'max_vel_x': 0.4287666484247893, 'min_vel_theta': 2.856549746822566, 'min_vel_trans': 0.12523032734170558, 'min_vel_x': -0.1182594177313149, 'occdist_scale': 0.226330574369058, 'oscillation_reset_angle': 0.3025198925286532, 'path_distance_bias': 33.84770963340998, 'scaling_speed': 0.17675641477108, 'sim_granularity': 0.04100840343162417, 'sim_time': 0.5799380233511329, 'stop_time_buffer': 0.5057545604184269, 'theta_stopped_vel': 0.1383032194338739, 'trans_stopped_vel': 0.08401432372629643, 'vth_samples': 10, 'vx_samples': 6, 'vy_samples': 3, 'publish_frequency': 2.2110545905306935, 'resolution': 0.052183940140530474, 'transform_tolerance': 1.2761114433407783, 'update_frequency': 3.4323145020753145, 'cost_scaling_factor': 13.413132953457534, 'inflation_radius': 1.1808424439281224, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
56,132.8,0.91,0.74,0,0.6,0.63,"{'controller_frequency': 3.47561589255929, 'planner_patience': 4.616101197898388, 'controller_patience': 3.2070251256227493, 'conservative_reset_dist': 1.091623768210411, 'acc_lim_theta': 2.008414246607572, 'acc_lim_trans': 0.22085574828088284, 'acc_lim_x': 3.1139569357037544, 'forward_point_distance': 0.4983575170859694, 'goal_distance_bias': 37.02660735696554, 'max_scaling_factor': 0.35388355888426304, 'max_vel_theta': 1.182466285303235, 'max_vel_trans': 0.48982553821988406, 'max_vel_x': 0.4623392136767507, 'min_vel_theta': 2.095993631053716, 'min_vel_trans': 0.1365120994858444, 'min_vel_x': -0.21082403725013138, 'occdist_scale': 0.4132773282472044, 'oscillation_reset_angle': 0.48687146939337256, 'path_distance_bias': 26.42727229744196, 'scaling_speed': 0.32513280939310785, 'sim_granularity': 0.036273296652361744, 'sim_time': 2.0303610553964972, 'stop_time_buffer': 0.12029899545013906, 'theta_stopped_vel': 0.0909052292816341, 'trans_stopped_vel': 0.1147144703194499, 'vth_samples': 29, 'vx_samples': 8, 'vy_samples': 14, 'publish_frequency': 3.1315063210204244, 'resolution': 0.1267511294130236, 'transform_tolerance': 0.5695224961265921, 'update_frequency': 4.141264864243567, 'cost_scaling_factor': 11.342124863527715, 'inflation_radius': 1.1151525244116782, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
57,38.08,0.61,0.84,0,0.8,0.87,"{'controller_frequency': 5.471561901271343, 'planner_patience': 6.169653728604317, 'controller_patience': 4.413786169141531, 'conservative_reset_dist': 3.2274571284651756, 'acc_lim_theta': 1.8269190380349756, 'acc_lim_trans': 0.12432501576840878, 'acc_lim_x': 2.6092075370252132, 'forward_point_distance': 0.491076925676316, 'goal_distance_bias': 23.452648320235312, 'max_scaling_factor': 0.1288016963750124, 'max_vel_theta': 0.8437279113568366, 'max_vel_trans': 0.5125280482694506, 'max_vel_x': 0.694351272052154, 'min_vel_theta': 1.7269090502522886, 'min_vel_trans': 0.15017647929489614, 'min_vel_x': -0.10363294025883077, 'occdist_scale': 0.34217166802845894, 'oscillation_reset_angle': 0.4755595967173577, 'path_distance_bias': 37.49145936220884, 'scaling_speed': 0.17540301047265527, 'sim_granularity': 0.041647013397887345, 'sim_time': 3.3476655147969723, 'stop_time_buffer': 1.2648329462856054, 'theta_stopped_vel': 0.11579920258373022, 'trans_stopped_vel': 0.09831915926188231, 'vth_samples': 16, 'vx_samples': 7, 'vy_samples': 12, 'publish_frequency': 2.272332528606057, 'resolution': 0.022502701934427022, 'transform_tolerance': 1.8142822787165642, 'update_frequency': 5.9929286958649755, 'cost_scaling_factor': 14.328119580633938, 'inflation_radius': 1.382055301219225, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
58,121.76,1.56,0.83,0,0.6,0.62,"{'controller_frequency': 6.333901308476925, 'planner_patience': 4.015069846063852, 'controller_patience': 5.802862595766783, 'conservative_reset_dist': 1.0081418305635452, 'acc_lim_theta': 1.9196373953483998, 'acc_lim_trans': 0.4998149834573269, 'acc_lim_x': 2.277067195624113, 'forward_point_distance': 0.291204824950546, 'goal_distance_bias': 20.100541417486966, 'max_scaling_factor': 0.34727780073881154, 'max_vel_theta': 1.6649535624310374, 'max_vel_trans': 0.3215682725887746, 'max_vel_x': 0.4414926682133228, 'min_vel_theta': 2.6828782008960843, 'min_vel_trans': 0.10364126674830915, 'min_vel_x': -0.2612534246407449, 'occdist_scale': 0.4509088087361306, 'oscillation_reset_angle': 0.2952682670205832, 'path_distance_bias': 48.199971206486225, 'scaling_speed': 0.21990460287779567, 'sim_granularity': 0.04180140009149909, 'sim_time': 2.8532950151711702, 'stop_time_buffer': 0.5398829791694879, 'theta_stopped_vel': 0.09761150320991874, 'trans_stopped_vel': 0.14823124557733536, 'vth_samples': 25, 'vx_samples': 7, 'vy_samples': 0, 'publish_frequency': 5.719341648742557, 'resolution': 0.04637870407663286, 'transform_tolerance': 0.864466909877956, 'update_frequency': 5.212010158225894, 'cost_scaling_factor': 18.780392825603485, 'inflation_radius': 0.35403006859123703, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
59,53.36,3.23,1.33,0,0.4,0.68,"{'controller_frequency': 4.460743132978678, 'planner_patience': 3.6101411432027817, 'controller_patience': 6.931366104632616, 'conservative_reset_dist': 1.4411431513726711, 'acc_lim_theta': 4.421609609667212, 'acc_lim_trans': 0.10744095854461194, 'acc_lim_x': 1.0468197464942932, 'forward_point_distance': 0.6917649958282709, 'goal_distance_bias': 39.991678623482585, 'max_scaling_factor': 0.3336592882871628, 'max_vel_theta': 1.1821462069638073, 'max_vel_trans': 0.682359802024439, 'max_vel_x': 0.31949557880871, 'min_vel_theta': 2.504181216470897, 'min_vel_trans': 0.13169529531151059, 'min_vel_x': -0.182483843062073, 'occdist_scale': 0.4619741476140916, 'oscillation_reset_angle': 0.11105524301528931, 'path_distance_bias': 40.2213104814291, 'scaling_speed': 0.3485289633274078, 'sim_granularity': 0.016620871536433695, 'sim_time': 2.0860178396105766, 'stop_time_buffer': 0.7069947043433785, 'theta_stopped_vel': 0.12302736425772309, 'trans_stopped_vel': 0.10907994769513607, 'vth_samples': 21, 'vx_samples': 4, 'vy_samples': 1, 'publish_frequency': 3.992853126488626, 'resolution': 0.0946134658716619, 'transform_tolerance': 0.6019572192803025, 'update_frequency': 4.140925103798509, 'cost_scaling_factor': 13.463307296857238, 'inflation_radius': 0.969431160762906, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
60,57.32,0.78,0.74,0,0.8,0.81,"{'controller_frequency': 6.628054767847061, 'planner_patience': 4.704839393496513, 'controller_patience': 6.582432899624109, 'conservative_reset_dist': 1.2662372700870037, 'acc_lim_theta': 4.787694260012358, 'acc_lim_trans': 0.1788623433560133, 'acc_lim_x': 1.6419397182762623, 'forward_point_distance': 0.3562554427422583, 'goal_distance_bias': 34.02838351204991, 'max_scaling_factor': 0.290589713677764, 'max_vel_theta': 1.435715860221535, 'max_vel_trans': 0.33079424891620873, 'max_vel_x': 0.33400086709298193, 'min_vel_theta': 2.7023071870207787, 'min_vel_trans': 0.12780211940407754, 'min_vel_x': -0.03825475154444574, 'occdist_scale': 0.2937200805172324, 'oscillation_reset_angle': 0.4543296005576849, 'path_distance_bias': 12.322390787303448, 'scaling_speed': 0.23425848018378018, 'sim_granularity': 0.018553730165585876, 'sim_time': 3.3401831910014153, 'stop_time_buffer': 1.4534412859007717, 'theta_stopped_vel': 0.13280811421573163, 'trans_stopped_vel': 0.12351531721651554, 'vth_samples': 15, 'vx_samples': 7, 'vy_samples': 2, 'publish_frequency': 4.951555793173611, 'resolution': 0.1142862387187779, 'transform_tolerance': 1.3988473832607269, 'update_frequency': 1.9621861577033997, 'cost_scaling_factor': 17.618488263338804, 'inflation_radius': 1.0241803854703904, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
61,49.6,0.18,0.64,1,1,0.87,"{'controller_frequency': 6.685511153191328, 'planner_patience': 5.223357878625393, 'controller_patience': 3.960891630500555, 'conservative_reset_dist': 2.146126192063093, 'acc_lim_theta': 2.996480738371611, 'acc_lim_trans': 0.31229478493332863, 'acc_lim_x': 3.226221766322851, 'forward_point_distance': 0.26379642346873877, 'goal_distance_bias': 7.428000122308731, 'max_scaling_factor': 0.40978004187345507, 'max_vel_theta': 0.7272303076460958, 'max_vel_trans': 0.4558799636084586, 'max_vel_x': 0.64809704949148, 'min_vel_theta': 2.7836985290050507, 'min_vel_trans': 0.15272117014974357, 'min_vel_x': -0.10052640186622738, 'occdist_scale': 0.15943183535709976, 'oscillation_reset_angle': 0.24241233244538307, 'path_distance_bias': 14.796289280056953, 'scaling_speed': 0.24736608676612376, 'sim_granularity': 0.020059294626116754, 'sim_time': 2.548076756298542, 'stop_time_buffer': 1.2011531950905918, 'theta_stopped_vel': 0.13756028106436133, 'trans_stopped_vel': 0.13361604567617177, 'vth_samples': 16, 'vx_samples': 9, 'vy_samples': 1, 'publish_frequency': 2.236132998019457, 'resolution': 0.02370623699389398, 'transform_tolerance': 0.5351107401773334, 'update_frequency': 3.5959459273144603, 'cost_scaling_factor': 11.637961991131306, 'inflation_radius': 0.45739419423043726, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
62,61.28,0.61,0.89,0,0.8,0.81,"{'controller_frequency': 3.0334333516657352, 'planner_patience': 5.966955907642841, 'controller_patience': 3.6824932396411896, 'conservative_reset_dist': 2.9584606774151325, 'acc_lim_theta': 3.06259163916111, 'acc_lim_trans': 0.11197244040668011, 'acc_lim_x': 1.6148028373718262, 'forward_point_distance': 0.6347371115349233, 'goal_distance_bias': 22.782278852537274, 'max_scaling_factor': 0.39475974328815944, 'max_vel_theta': 1.9690295425243676, 'max_vel_trans': 0.3875049124471843, 'max_vel_x': 0.3226704815402627, 'min_vel_theta': 2.9634785181842744, 'min_vel_trans': 0.11406501838937402, 'min_vel_x': -0.024954078253358603, 'occdist_scale': 0.10546172223985195, 'oscillation_reset_angle': 0.10581045858561994, 'path_distance_bias': 21.16129968315363, 'scaling_speed': 0.30325617026537655, 'sim_granularity': 0.025563726313412187, 'sim_time': 3.1077516190707684, 'stop_time_buffer': 0.7480611834675073, 'theta_stopped_vel': 0.07394674466922879, 'trans_stopped_vel': 0.11244134474545717, 'vth_samples': 20, 'vx_samples': 7, 'vy_samples': 3, 'publish_frequency': 3.930180160328746, 'resolution': 0.13041876564733684, 'transform_tolerance': 1.2937948182225227, 'update_frequency': 5.5166237419471145, 'cost_scaling_factor': 16.058402300812304, 'inflation_radius': 1.1034014392644167, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
63,40.72,0.72,0.81,0,0.8,0.86,"{'controller_frequency': 4.096951309591532, 'planner_patience': 6.356949158012867, 'controller_patience': 6.37172482162714, 'conservative_reset_dist': 2.386230044066906, 'acc_lim_theta': 2.9047871622256936, 'acc_lim_trans': 0.2701547935605049, 'acc_lim_x': 4.527594607323408, 'forward_point_distance': 0.6985705647617578, 'goal_distance_bias': 25.691468440927565, 'max_scaling_factor': 0.3630930259823799, 'max_vel_theta': 1.1037372914142907, 'max_vel_trans': 0.6088469157926738, 'max_vel_x': 0.33921590116806327, 'min_vel_theta': 2.198615171480924, 'min_vel_trans': 0.13225747430697085, 'min_vel_x': -0.02480636425316335, 'occdist_scale': 0.4347096065524966, 'oscillation_reset_angle': 0.3892893932759762, 'path_distance_bias': 40.88639635592699, 'scaling_speed': 0.3189009882509708, 'sim_granularity': 0.023270829627290365, 'sim_time': 2.5059156324714422, 'stop_time_buffer': 0.3369167625904083, 'theta_stopped_vel': 0.06354914056137204, 'trans_stopped_vel': 0.06060757813975215, 'vth_samples': 29, 'vx_samples': 8, 'vy_samples': 5, 'publish_frequency': 5.587835450656712, 'resolution': 0.10857597269117833, 'transform_tolerance': 1.6893509825691582, 'update_frequency': 2.087081842124462, 'cost_scaling_factor': 1.8416475728154182, 'inflation_radius': 0.7880063731223345, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
64,50.36,0.71,0.71,0,0.8,0.83,"{'controller_frequency': 4.857497598975897, 'planner_patience': 4.518803339451551, 'controller_patience': 4.137158747762442, 'conservative_reset_dist': 4.070298425853252, 'acc_lim_theta': 2.9437806693837048, 'acc_lim_trans': 0.3165195845067501, 'acc_lim_x': 4.95259402692318, 'forward_point_distance': 0.2881767464801669, 'goal_distance_bias': 36.2793151428923, 'max_scaling_factor': 0.1149215016514063, 'max_vel_theta': 0.532174326479435, 'max_vel_trans': 0.41215533697977663, 'max_vel_x': 0.33026700457558034, 'min_vel_theta': 2.2277137879282236, 'min_vel_trans': 0.15544646494090558, 'min_vel_x': -0.09842822682112454, 'occdist_scale': 0.10800066650845111, 'oscillation_reset_angle': 0.28081748224794867, 'path_distance_bias': 35.56748762726784, 'scaling_speed': 0.17656412366777657, 'sim_granularity': 0.022260489659383893, 'sim_time': 3.2851266767829657, 'stop_time_buffer': 1.474373228289187, 'theta_stopped_vel': 0.13537658816203474, 'trans_stopped_vel': 0.07408400708809496, 'vth_samples': 13, 'vx_samples': 6, 'vy_samples': 15, 'publish_frequency': 1.55512975435704, 'resolution': 0.1159936280734837, 'transform_tolerance': 0.5118542982265353, 'update_frequency': 1.2096732705831528, 'cost_scaling_factor': 3.299392607063055, 'inflation_radius': 1.0428919941186905, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
65,73.92,0.48,0.49,0,0.8,0.79,"{'controller_frequency': 4.6761540696024895, 'planner_patience': 5.521256651729345, 'controller_patience': 6.7320763021707535, 'conservative_reset_dist': 3.791810192167759, 'acc_lim_theta': 2.136694266460836, 'acc_lim_trans': 0.4837835241109133, 'acc_lim_x': 4.335770010948181, 'forward_point_distance': 0.34673834815621374, 'goal_distance_bias': 12.099099312908947, 'max_scaling_factor': 0.42322045713663103, 'max_vel_theta': 1.4450202616862953, 'max_vel_trans': 0.38958753626793624, 'max_vel_x': 0.3780178599525243, 'min_vel_theta': 1.8486345768906176, 'min_vel_trans': 0.1992653600871563, 'min_vel_x': -0.2053731746971607, 'occdist_scale': 0.17602827814407646, 'oscillation_reset_angle': 0.36380495801568036, 'path_distance_bias': 12.581514157354832, 'scaling_speed': 0.2823804125189781, 'sim_granularity': 0.017127086631953715, 'sim_time': 0.6373470304533839, 'stop_time_buffer': 0.8723614184185862, 'theta_stopped_vel': 0.13237099815160036, 'trans_stopped_vel': 0.08203902319073678, 'vth_samples': 22, 'vx_samples': 7, 'vy_samples': 6, 'publish_frequency': 1.3304470935836434, 'resolution': 0.07375548268668354, 'transform_tolerance': 0.5183178553357721, 'update_frequency': 4.801219812594354, 'cost_scaling_factor': 16.63059674948454, 'inflation_radius': 1.0290758304297924, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
