Iteration,Energy,Positional_error,Obstacle_distance,Task success,Task_success_rate,Penalty,HV,Parameters
12,1.42,0.049828222258274,0.535987555980682,1,1,0,0.91,"{'theta_stopped_vel': 0.12799716359004376, 'sim_time': 1.6446908712387085, 'sim_granularity': 0.030582177462056277, 'max_vel_x': 0.3959576916880906, 'max_vel_trans': 0.2675412212032825, 'acc_lim_theta': 3.5276745799928904, 'min_vel_x': -0.15516938790678977}"
13,2.21,0.040368879943261,0.308416575193405,1,1,0,0.88,"{'theta_stopped_vel': 0.061767553165555, 'sim_time': 1.9717161823064089, 'sim_granularity': 0.03554794748313725, 'max_vel_x': 0.3862534096464515, 'max_vel_trans': 0.1828268671873957, 'acc_lim_theta': 3.9995752326212823, 'min_vel_x': -0.23217620719224213}"
14,1.22,0.069224576769088,0.524758875370026,1,1,0,0.92,"{'theta_stopped_vel': 0.11396053526550531, 'sim_time': 1.386767728254199, 'sim_granularity': 0.039141399152576924, 'max_vel_x': 0.23558677230030298, 'max_vel_trans': 0.38386498470790686, 'acc_lim_theta': 4.489807459060103, 'min_vel_x': -0.028927519731223594}"
15,1.6,0.041979637011643,0.400606572628021,1,1,0,0.91,"{'theta_stopped_vel': 0.05515543129295111, 'sim_time': 1.4597498886287212, 'sim_granularity': 0.017884163903072476, 'max_vel_x': 0.25650438722223046, 'max_vel_trans': 0.21348805222660303, 'acc_lim_theta': 4.018167306669056, 'min_vel_x': -0.2472037598490715}"
16,2.17,0.078157024591953,0.127348273992538,1,0.976708285388002,0.023291714611999,0.87,"{'theta_stopped_vel': 0.13416993004029648, 'sim_time': 1.6359971864181344, 'sim_granularity': 0.022441840504954312, 'max_vel_x': 0.37000524879311014, 'max_vel_trans': 0.3489918593116078, 'acc_lim_theta': 3.057607080158456, 'min_vel_x': -0.1501791804578264}"
17,1.32,0.067628356298706,0.145673483610153,1,0.986403395025889,0.013596604974111,0.91,"{'theta_stopped_vel': 0.07950634304003552, 'sim_time': 1.5305903555143987, 'sim_granularity': 0.04214292409899284, 'max_vel_x': 0.23963671988560575, 'max_vel_trans': 0.3471085312245542, 'acc_lim_theta': 4.31876310382264, 'min_vel_x': -0.10909419931079525}"
18,1.44,0.054461991872686,0.52005410194397,1,1,0,0.91,"{'theta_stopped_vel': 0.0927952858799101, 'sim_time': 1.6067968603611145, 'sim_granularity': 0.03795748371201782, 'max_vel_x': 0.21781140499474347, 'max_vel_trans': 0.36411931363584915, 'acc_lim_theta': 4.5, 'min_vel_x': -0.023871303055048754}"
19,1.41,0.061548869780523,0.378468543291092,1,1,0,0.91,"{'theta_stopped_vel': 0.10595345193385494, 'sim_time': 1.5777006038868449, 'sim_granularity': 0.04166499531021595, 'max_vel_x': 0.2257816990474358, 'max_vel_trans': 0.34027079142472194, 'acc_lim_theta': 4.4681193317886185, 'min_vel_x': -0.062068562992631}"
20,1.27,0.04498549563473,0.236617714166641,1,0.996350364963504,0.003649635036496,0.92,"{'theta_stopped_vel': 0.07520874887916781, 'sim_time': 1.6652202376182605, 'sim_granularity': 0.042905456480951856, 'max_vel_x': 0.3097189597001897, 'max_vel_trans': 0.3225665651597049, 'acc_lim_theta': 3.6670550594535647, 'min_vel_x': -0.19628614622691737}"
21,1.52,0.04938805502665,0.131047934293747,1,0.976993406046742,0.023006593953258,0.91,"{'theta_stopped_vel': 0.06823186738309357, 'sim_time': 1.5878917991120405, 'sim_granularity': 0.045, 'max_vel_x': 0.307633512345985, 'max_vel_trans': 0.3452070168207377, 'acc_lim_theta': 3.470923081464435, 'min_vel_x': -0.12314474634305692}"
22,1.25,0.055316333449582,0.135859191417694,1,0.986150485599044,0.013849514400957,0.92,"{'theta_stopped_vel': 0.0504020591494418, 'sim_time': 1.5529640021366078, 'sim_granularity': 0.04207494972217744, 'max_vel_x': 0.2673282370946383, 'max_vel_trans': 0.31573317585280447, 'acc_lim_theta': 3.9861971627768042, 'min_vel_x': -0.24135021548915925}"
23,1.47,0.069611675124289,0.480544805526733,1,1,0,0.9,"{'theta_stopped_vel': 0.07380411486151957, 'sim_time': 1.8223604060662233, 'sim_granularity': 0.03510982105766318, 'max_vel_x': 0.2430291321379908, 'max_vel_trans': 0.3245102049024685, 'acc_lim_theta': 4.410770146562996, 'min_vel_x': -0.08729974494882053}"
24,0.89,0.342248496681554,0.234965935349464,0,0.49625468164794,0.00374531835206,0.85,"{'theta_stopped_vel': 0.13545813259742162, 'sim_time': 1.2683678775833376, 'sim_granularity': 0.018550972799736783, 'max_vel_x': 0.38924048141754825, 'max_vel_trans': 0.3741647770777329, 'acc_lim_theta': 3.338414918542147, 'min_vel_x': -0.15997773982626023}"
25,1.44,0.038090536595054,0.132652327418327,1,0.987095518269225,0.012904481730775,0.92,"{'theta_stopped_vel': 0.07463356303545407, 'sim_time': 1.597093878050164, 'sim_granularity': 0.04201030680004844, 'max_vel_x': 0.284419431573274, 'max_vel_trans': 0.31444459827109583, 'acc_lim_theta': 3.398703114306068, 'min_vel_x': -0.20769719287882954}"
26,1.27,0.072118270144525,0.130725175142288,1,0.984875655063174,0.015124344936826,0.91,"{'theta_stopped_vel': 0.13678850182007762, 'sim_time': 1.237564824393258, 'sim_granularity': 0.017729442558507093, 'max_vel_x': 0.35436275339251244, 'max_vel_trans': 0.3735871114141045, 'acc_lim_theta': 2.9725938911423846, 'min_vel_x': -0.15839749715849824}"
27,1.33,0.055928684925899,0.307949900627136,1,1,0,0.92,"{'theta_stopped_vel': 0.05015695983813072, 'sim_time': 1.686874005417365, 'sim_granularity': 0.045, 'max_vel_x': 0.2848387556563844, 'max_vel_trans': 0.33655714536751535, 'acc_lim_theta': 3.294405919975796, 'min_vel_x': -0.21424352739438018}"
28,1.82,0.053202733666008,0.326426118612289,1,1,0,0.89,"{'theta_stopped_vel': 0.0621984638054944, 'sim_time': 1.5925251823961326, 'sim_granularity': 0.04473791992925107, 'max_vel_x': 0.19585778651023877, 'max_vel_trans': 0.32342837096260535, 'acc_lim_theta': 3.1573217154401734, 'min_vel_x': -0.19681467456167084}"
29,1.41,0.055383286328871,0.126165896654129,1,0.98818865649735,0.01181134350265,0.91,"{'theta_stopped_vel': 0.06649541066591176, 'sim_time': 1.463909903224837, 'sim_granularity': 0.04144109067847973, 'max_vel_x': 0.27754252383685185, 'max_vel_trans': 0.30774598767873695, 'acc_lim_theta': 3.311664729035572, 'min_vel_x': -0.16667174347420502}"
30,1.05,0.082854096947019,0.226808339357376,1,0.989090266828125,0.010909733171875,0.92,"{'theta_stopped_vel': 0.13491068945777074, 'sim_time': 1.3034943685438436, 'sim_granularity': 0.019477440061525728, 'max_vel_x': 0.36385792696582486, 'max_vel_trans': 0.3727142606301113, 'acc_lim_theta': 3.390411990063632, 'min_vel_x': -0.1569820307624727}"
31,1.65,0.030609319727012,0.133686438202858,1,0.981589402517674,0.018410597482326,0.91,"{'theta_stopped_vel': 0.06186271416895243, 'sim_time': 1.6362846858607973, 'sim_granularity': 0.045, 'max_vel_x': 0.26701536306664114, 'max_vel_trans': 0.3434710907177382, 'acc_lim_theta': 3.3568857191652715, 'min_vel_x': -0.18922445529194634}"
32,1.52,0.070700876734928,0.541603744029999,1,1,0,0.9,"{'theta_stopped_vel': 0.10226807971993285, 'sim_time': 1.6768474730531386, 'sim_granularity': 0.037022641477538795, 'max_vel_x': 0.21755989767311434, 'max_vel_trans': 0.3546915709089111, 'acc_lim_theta': 3.456107763606058, 'min_vel_x': -0.017090573896894445}"
33,1.43,0.07748009435166,0.288406252861023,1,1,0,0.9,"{'theta_stopped_vel': 0.09441579141612493, 'sim_time': 1.4842319614841095, 'sim_granularity': 0.0359631351264829, 'max_vel_x': 0.2168105623660208, 'max_vel_trans': 0.32429418957008993, 'acc_lim_theta': 3.8498836332271704, 'min_vel_x': -0.06018251511137557}"
34,1.05,0.073827799319773,0.209862366318703,1,0.995555555555555,0.004444444444444,0.92,"{'theta_stopped_vel': 0.12766994971487394, 'sim_time': 1.225159573566589, 'sim_granularity': 0.015877877161330656, 'max_vel_x': 0.3618665019603878, 'max_vel_trans': 0.38774432134941195, 'acc_lim_theta': 2.796990645186487, 'min_vel_x': -0.1403989184970777}"
35,1.21,0.340501963851516,0.205939739942551,0,0.495326369633442,0.004673630366558,0.83,"{'theta_stopped_vel': 0.14327676966790204, 'sim_time': 1.2263617844128762, 'sim_granularity': 0.018329792278560138, 'max_vel_x': 0.3624028259283303, 'max_vel_trans': 0.3797093906891771, 'acc_lim_theta': 3.202157083199868, 'min_vel_x': -0.12934227213214314}"
36,1.66,0.057053174830064,0.120430991053581,1,0.993717339229438,0.006282660770562,0.9,"{'theta_stopped_vel': 0.11295854697080056, 'sim_time': 1.759593598151626, 'sim_granularity': 0.036592563654110205, 'max_vel_x': 0.1888854154284094, 'max_vel_trans': 0.39504676539661693, 'acc_lim_theta': 4.5, 'min_vel_x': 0.0}"
37,1.35,0.080778580481588,0.13589933514595,1,0.984542191797675,0.015457808202325,0.91,"{'theta_stopped_vel': 0.13713345006250602, 'sim_time': 1.284472424580462, 'sim_granularity': 0.04090796904923094, 'max_vel_x': 0.23281205123828735, 'max_vel_trans': 0.3823255956319964, 'acc_lim_theta': 3.9279446145627013, 'min_vel_x': -0.04515495595978741}"
38,1.24,0.039287212422878,0.140291035175324,1,0.984598990737115,0.015401009262885,0,"{'theta_stopped_vel': 0.07688189356789321, 'sim_time': 1.5339855337912796, 'sim_granularity': 0.041446231063175826, 'max_vel_x': 0.19987857614409002, 'max_vel_trans': 0.37966614774252416, 'acc_lim_theta': 3.900289574469082, 'min_vel_x': 0.0}"
39,1.22,0.33108578645123,0.119999997317791,0,0.404013619064631,0.095986380935369,0.84,"{'theta_stopped_vel': 0.10139569257219719, 'sim_time': 1.4967089151390178, 'sim_granularity': 0.03367910205618657, 'max_vel_x': 0.24559253175091844, 'max_vel_trans': 0.3640679011034898, 'acc_lim_theta': 4.445600241475276, 'min_vel_x': -0.14585398444297046}"
40,1.41,0.06816220412128,0.119999997317791,1,0.983786191520034,0.016213808479966,0.91,"{'theta_stopped_vel': 0.09348108492489127, 'sim_time': 1.5422089520067332, 'sim_granularity': 0.04110475976814796, 'max_vel_x': 0.24166086921589477, 'max_vel_trans': 0.3295462570039922, 'acc_lim_theta': 3.988220264054698, 'min_vel_x': -0.2005522335708571}"
41,1.68,0.098127069586301,0.162976086139679,1,0.989157942607401,0.010842057392599,0.89,"{'theta_stopped_vel': 0.11892324653369632, 'sim_time': 1.2773984895404715, 'sim_granularity': 0.018054121590569756, 'max_vel_x': 0.3920585181154679, 'max_vel_trans': 0.38218942147703105, 'acc_lim_theta': 2.614694547420082, 'min_vel_x': -0.15040542751438743}"
42,1.4,0.049610943804888,0.124331511557102,1,0.98568554019189,0.01431445980811,0.91,"{'theta_stopped_vel': 0.0607880662717574, 'sim_time': 1.5798440509944616, 'sim_granularity': 0.035260179034969, 'max_vel_x': 0.25341895631319256, 'max_vel_trans': 0.31510983273099413, 'acc_lim_theta': 3.7130145518741355, 'min_vel_x': -0.21248446672896903}"
43,1.44,0.05630264073445,0.537988424301147,1,1,0,0.91,"{'theta_stopped_vel': 0.13395056475548528, 'sim_time': 1.4777555471265689, 'sim_granularity': 0.039648531712496535, 'max_vel_x': 0.22270417987931124, 'max_vel_trans': 0.362030342989588, 'acc_lim_theta': 3.6952469252235653, 'min_vel_x': -0.05588499842533645}"
44,1.49,0.043829363110978,0.164984032511711,1,0.993649703888112,0.006350296111888,0.91,"{'theta_stopped_vel': 0.06319274764602355, 'sim_time': 1.6302368614619902, 'sim_granularity': 0.045, 'max_vel_x': 0.23704942853744793, 'max_vel_trans': 0.31594835791606546, 'acc_lim_theta': 4.045380476117152, 'min_vel_x': -0.1610586580367839}"
45,1.5,0.053028867397027,0.140624463558197,1,0.987483030292767,0.012516969707233,0.91,"{'theta_stopped_vel': 0.05741445762393224, 'sim_time': 1.5945076413132324, 'sim_granularity': 0.0389026920460606, 'max_vel_x': 0.24793233630703004, 'max_vel_trans': 0.3665597043259091, 'acc_lim_theta': 3.931709921547095, 'min_vel_x': -0.24449657818259013}"
46,1.44,0.056061556802637,0.54587310552597,1,1,0,0.91,"{'theta_stopped_vel': 0.0936997325120337, 'sim_time': 1.507092648996791, 'sim_granularity': 0.033558938248841944, 'max_vel_x': 0.24023295150334192, 'max_vel_trans': 0.3485806587034129, 'acc_lim_theta': 3.183080398728203, 'min_vel_x': -0.16043672036699144}"
47,1.48,0.055879640295323,0.545655488967896,1,1,0,0.91,"{'theta_stopped_vel': 0.12911864926955774, 'sim_time': 1.5153035996867907, 'sim_granularity': 0.03374432699247007, 'max_vel_x': 0.21282852258251728, 'max_vel_trans': 0.3278756990343725, 'acc_lim_theta': 4.4890266171116515, 'min_vel_x': -7.371547816603652e-12}"
48,1.47,0.034090008470989,0.535838603973389,1,1,0,0.92,"{'theta_stopped_vel': 0.10051918297387183, 'sim_time': 1.6800667627834232, 'sim_granularity': 0.033060249236909256, 'max_vel_x': 0.2063064207987721, 'max_vel_trans': 0.2927907055887663, 'acc_lim_theta': 4.5, 'min_vel_x': -0.01424522659633981}"
49,1.36,0.061867788082088,0.119999997317791,1,0.98281884667739,0.01718115332261,0.91,"{'theta_stopped_vel': 0.05813483644946407, 'sim_time': 1.681293404586298, 'sim_granularity': 0.045, 'max_vel_x': 0.2808598700830944, 'max_vel_trans': 0.307855526146638, 'acc_lim_theta': 4.111223564728146, 'min_vel_x': -0.18749746370450576}"
50,1.56,0.076010315939577,0.219246625900268,1,0.993672537255888,0.006327462744112,0.9,"{'theta_stopped_vel': 0.13295977857322694, 'sim_time': 1.2392221483280048, 'sim_granularity': 0.015, 'max_vel_x': 0.30620230381531344, 'max_vel_trans': 0.3923337759546518, 'acc_lim_theta': 2.9665769827021986, 'min_vel_x': -0.1597237002239202}"
